return_period_yr,agg_n_cells,agg_events
1.0244642052206696,1488,97
1.0244432151125864,1488,97
1.0244222258646123,1487,97
1.0244012374766949,1487,97
1.024380249948781,1487,97
1.0243592632808178,1487,97
1.0243382774727525,1487,97
1.0243172925245323,1487,97
1.0242963084361043,1487,97
1.0242753252074157,1487,97
1.0242543428384137,1487,97
1.0242333613290453,1487,97
1.0242123806792576,1487,97
1.024191400888998,1486,97
1.024170421958214,1486,97
1.024149443886852,1486,97
1.0241284666748598,1485,97
1.0241074903221843,1485,97
1.0240865148287728,1485,97
1.0240655401945724,1485,97
1.0240445664195306,1485,97
1.0240235935035944,1485,97
1.0240026214467108,1485,97
1.0239816502488275,1485,97
1.0239606799098915,1485,97
1.02393971042985,1485,97
1.0239187418086502,1484,97
1.0238977740462392,1484,97
1.0238768071425646,1484,97
1.0238558410975735,1484,97
1.023834875911213,1484,97
1.0238139115834306,1484,97
1.0237929481141734,1483,97
1.0237719855033887,1483,97
1.0237510237510237,1483,97
1.0237300628570258,1483,97
1.0237091028213423,1483,97
1.0236881436439202,1483,97
1.0236671853247072,1483,97
1.0236462278636502,1483,97
1.0236252712606968,1483,97
1.0236043155157941,1482,97
1.0235833606288895,1482,97
1.0235624065999305,1482,97
1.0235414534288638,1482,97
1.0235205011156374,1482,97
1.0234995496601982,1482,97
1.0234785990624935,1482,97
1.023457649322471,1482,97
1.0234367004400777,1481,97
1.0234157524152612,1481,97
1.0233948052479687,1481,97
1.0233738589381474,1481,97
1.0233529134857446,1481,97
1.023331968890708,1481,97
1.0233110251529849,1481,97
1.0232900822725226,1481,97
1.0232691402492684,1481,97
1.0232481990831697,1480,97
1.0232272587741738,1480,97
1.023206319322228,1480,97
1.0231853807272802,1480,97
1.0231644429892772,1480,97
1.0231435061081666,1479,97
1.023122570083896,1479,97
1.0231016349164126,1479,97
1.0230807006056637,1479,97
1.023059767151597,1479,97
1.0230388345541597,1479,97
1.0230179028132993,1479,97
1.022996971928963,1479,97
1.0229760419010987,1479,97
1.0229551127296534,1479,97
1.0229341844145747,1479,97
1.0229132569558101,1478,97
1.022892330353307,1478,97
1.0228714046070129,1478,97
1.022850479716875,1478,97
1.022829555682841,1478,97
1.0228086325048584,1478,97
1.0227877101828744,1478,97
1.0227667887168368,1477,97
1.0227458681066928,1477,97
1.0227249483523901,1477,97
1.022704029453876,1477,97
1.0226831114110981,1477,97
1.022662194224004,1477,97
1.022641277892541,1477,97
1.0226203624166565,1477,97
1.0225994477962983,1477,97
1.0225785340314135,1476,97
1.0225576211219503,1476,97
1.0225367090678554,1476,97
1.022515797869077,1476,97
1.0224948875255624,1476,97
1.022473978037259,1476,97
1.0224530694041143,1476,97
1.022432161626076,1475,97
1.0224112547030917,1475,97
1.022390348635109,1475,97
1.022369443422075,1475,97
1.0223485390639377,1475,97
1.0223276355606445,1474,97
1.022306732912143,1474,97
1.0222858311183807,1474,97
1.0222649301793052,1474,97
1.0222440300948643,1473,97
1.0222231308650052,1473,97
1.0222022324896758,1473,97
1.0221813349688236,1472,97
1.022160438302396,1472,97
1.0221395424903408,1472,97
1.0221186475326056,1472,97
1.022097753429138,1472,97
1.0220768601798855,1472,97
1.0220559677847958,1472,97
1.0220350762438166,1471,97
1.0220141855568956,1471,97
1.0219932957239801,1471,97
1.021972406745018,1471,97
1.0219515186199566,1471,97
1.021930631348744,1471,97
1.0219097449313277,1471,97
1.0218888593676552,1471,97
1.0218679746576742,1471,97
1.0218470908013324,1470,97
1.0218262077985776,1470,97
1.0218053256493573,1470,97
1.0217844443536193,1470,97
1.021763563911311,1470,97
1.0217426843223802,1470,97
1.0217218055867747,1470,97
1.0217009277044424,1470,97
1.0216800506753305,1469,97
1.021659174499387,1469,97
1.0216382991765596,1469,97
1.0216174247067957,1469,97
1.0215965510900435,1469,97
1.0215756783262504,1469,97
1.0215548064153641,1469,97
1.0215339353573325,1469,97
1.0215130651521034,1469,97
1.0214921957996241,1469,97
1.0214713272998428,1469,97
1.0214504596527068,1469,97
1.0214295928581643,1468,97
1.0214087269161627,1468,97
1.02138786182665,1468,97
1.0213669975895738,1468,97
1.021346134204882,1468,97
1.0213252716725223,1468,97
1.0213044099924424,1468,97
1.02128354916459,1468,97
1.0212626891889132,1467,97
1.0212418300653594,1467,97
1.0212209717938767,1467,97
1.0212001143744127,1466,97
1.0211792578069154,1466,97
