event_id,start_date,end_date,duration_days,n_active_cells,footprint_area_km2,peak_hail_max_in,peak_hail_mean_in,centroid_lat,centroid_lon
1107,2012-08-18,2012-08-18,1,2,1540.12,1.8700000047683716,1.4950000047683716,35.034,-101.592
1108,2012-08-19,2012-08-19,1,3,2310.18,1.3700000047683716,1.2033333778381348,36.112,-104.603
1109,2012-08-20,2012-08-20,1,2,1540.12,1.1200000047683716,1.1200000047683716,35.0,-102.375
1110,2012-08-23,2012-08-23,1,3,2310.18,1.3700000047683716,1.2033333778381348,44.293,-96.267
1111,2012-08-24,2012-08-24,1,11,8470.66,1.8700000047683716,1.2109090089797974,47.182,-100.248
1112,2012-08-27,2012-08-27,1,1,770.06,1.1200000047683716,1.1200000047683716,45.25,-98.0
1113,2012-08-31,2012-08-31,1,1,770.06,1.1200000047683716,1.1200000047683716,44.0,-70.0
1114,2012-09-02,2012-09-02,1,1,770.06,1.6200000047683716,1.6200000047683716,42.0,-97.25
1115,2012-09-03,2012-09-07,5,78,60064.67999999999,2.619999885559082,1.4341027736663818,41.58,-91.519
1116,2012-09-17,2012-09-17,1,2,1540.12,2.119999885559082,1.994999885559082,39.921,-92.767
1117,2012-09-19,2012-09-19,1,1,770.06,1.1200000047683716,1.1200000047683716,44.5,-89.0
1118,2012-09-20,2012-09-20,1,1,770.06,1.1200000047683716,1.1200000047683716,37.25,-93.25
1119,2012-09-21,2012-09-21,1,6,4620.36,1.8700000047683716,1.2450000047683716,40.012,-87.337
1120,2012-09-22,2012-09-22,1,5,3850.2999999999997,1.1200000047683716,1.1200000047683716,41.7,-80.6
1121,2012-09-26,2012-09-27,2,20,15401.199999999999,1.8700000047683716,1.282500147819519,37.537,-93.196
1122,2012-09-30,2012-09-30,1,4,3080.24,1.8700000047683716,1.3700000047683716,40.619,-100.58
